gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
A1BG,9.741935,0.007666,3.067985,0.029689,0.510696,0.051816,Human highest
MADD,8.666667,0.013124,6.048308,6.906773,6.913741,0.051816,Mouse highest
MADCAM1,9.095006,0.010594,2.327718,0.036608,0.377566,0.051816,Human highest
MAD2L2,9.176471,0.010171,2.756615,2.414321,3.447181,0.051816,Mouse highest
MACROD1,8.938562,0.011456,3.837666,6.521384,6.691084,0.051816,Mouse highest
MAB21L3,8.666667,0.013124,4.183668,0.394725,0.593564,0.051816,Human highest
MAB21L1,11.538562,0.003122,0.146591,0.420764,1.109436,0.051816,Mouse highest
M1AP,10.156209,0.006232,3.634055,0.233193,1.298788,0.051816,Human highest
LYSMD1,8.68366,0.013013,2.492114,3.610922,3.655094,0.051816,Mouse highest
LYRM4,11.113725,0.003861,7.393348,4.9589,5.513733,0.051816,Human highest
LYPLAL1,9.105229,0.01054,5.990359,2.899769,4.136896,0.051816,Human highest
LYPD8,9.925053,0.006995,5.432666,0.015957,0.201256,0.051816,Human highest
LYPD6B,11.997386,0.002482,1.293023,1.766474,3.012729,0.051816,Mouse highest
LYPD6,10.722876,0.004694,0.657838,1.773053,2.3713,0.051816,Mouse highest
LYPD5,8.70936,0.012847,3.651002,0.214345,0.211596,0.051816,Human highest
LYNX1,10.180843,0.006155,5.186705,0.046366,1.196058,0.051816,Human highest
LYN,8.938562,0.011456,1.808235,3.943352,4.220816,0.051816,Mouse highest
LYG2,9.511002,0.008604,5.036334,0.052565,0.274864,0.051816,Human highest
LYG1,11.294624,0.003527,3.339081,0.0,0.246175,0.051816,Human highest
LY75,10.494624,0.005262,0.0,0.166553,1.061356,0.051816,Mouse highest
MAEL,9.499346,0.008655,4.423876,0.184723,0.511891,0.051816,Human highest
LY6D,12.238031,0.002201,0.810936,0.013732,0.001236,0.051816,Human highest
MAFA,8.938562,0.011456,0.020642,0.442313,0.561082,0.051816,Mouse highest
MAFK,9.754248,0.007619,3.964177,2.597979,2.324232,0.051816,Human highest
MAP3K13,8.734641,0.012685,7.87725,4.918245,5.613914,0.051816,Human highest
MAP2K6,8.938562,0.011456,5.698532,7.005072,7.087564,0.051816,Mouse highest
MAP2K2,10.043137,0.006594,5.321565,6.024622,6.459606,0.051816,Mouse highest
MAP2K1,11.538562,0.003122,6.842316,8.223206,7.718428,0.051816,NHP highest
MAP10,10.366013,0.005611,2.943033,1.22201,1.511462,0.051816,Human highest
MAOA,8.68366,0.013013,2.711701,4.348603,4.375726,0.051816,Mouse highest
MANEAL,10.043137,0.006594,3.799425,5.137931,4.982252,0.051816,NHP highest
MANEA,8.938562,0.011456,3.22272,4.348004,4.23501,0.051816,NHP highest
MAN2C1,11.538562,0.003122,5.662812,4.019935,4.662435,0.051816,Human highest
MAN2B2,9.278431,0.009665,4.218742,1.93405,2.305062,0.051816,Human highest
MAN2A1,9.278431,0.009665,7.667841,6.101541,5.924022,0.051816,Human highest
MAN1B1,11.113725,0.003861,4.762126,5.102603,5.539883,0.051816,Mouse highest
MAMSTR,9.989542,0.006773,3.316787,1.296277,2.48945,0.051816,Human highest
MAMLD1,9.244444,0.009831,5.727591,6.771795,6.402728,0.051816,NHP highest
MAMDC4,8.734641,0.012685,1.593392,0.376087,0.564789,0.051816,Human highest
MAK16,10.554902,0.005105,3.032048,5.15171,4.598887,0.051816,NHP highest
MAK,8.819608,0.012158,6.292435,4.117467,3.867708,0.051816,Human highest
MAGIX,8.905882,0.011644,1.820216,0.272746,0.738355,0.051816,Human highest
MAGEL2,10.450327,0.005379,1.303751,0.074403,0.539816,0.051816,Human highest
MAFB,8.938562,0.011456,0.280482,1.274137,1.461338,0.051816,Mouse highest
MAP3K5,9.278431,0.009665,8.572495,6.36151,6.806261,0.051816,Human highest
LVRN,9.091503,0.010612,2.210726,0.323324,0.840514,0.051816,Human highest
LST1,9.278431,0.009665,0.10592,2.814081,2.911685,0.051816,Mouse highest
LRRC24,9.154248,0.010284,3.190682,3.355979,4.352326,0.051816,Mouse highest
LRRC23,9.754248,0.007619,3.681147,1.681876,2.108205,0.051816,Human highest
LRRC2,9.091503,0.010612,5.711911,1.570252,1.64564,0.051816,Human highest
LRRC19,9.091503,0.010612,1.527286,4.059995,4.253242,0.051816,Mouse highest
LRRC14B,9.393052,0.009127,0.009808,0.538019,0.249921,0.051816,NHP highest
LRRC1,11.113725,0.003861,3.688476,2.751916,2.411651,0.051816,Human highest
LRP4,8.68366,0.013013,6.34741,2.121864,2.241063,0.051816,Human highest
LRP12,9.278431,0.009665,6.528206,5.609476,5.447753,0.051816,Human highest
LRP11,8.938562,0.011456,6.198552,7.168775,6.975905,0.051816,NHP highest
LRP10,9.499346,0.008655,0.199839,2.579051,2.631614,0.051816,Mouse highest
LRIT3,8.68366,0.013013,2.104664,0.490114,0.649894,0.051816,Human highest
LRIG3,8.68366,0.013013,1.894313,0.631945,0.648316,0.051816,Human highest
LRG1,10.722876,0.004694,0.048723,2.656964,1.583092,0.051816,NHP highest
LRCH4,9.519608,0.008567,3.665491,2.683309,3.141624,0.051816,Human highest
LRAT,11.294624,0.003527,1.023481,0.0,0.016003,0.051816,Human highest
LPXN,11.538562,0.003122,4.818051,1.332711,1.863977,0.051816,Human highest
LPIN2,12.490196,0.00194,5.066957,6.914388,6.49249,0.051816,NHP highest
