gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction,p_Human_NHP,p_Human_Mouse,p_NHP_Mouse
HOXB6,15.822715,0.000367,0.0,0.052565,0.0,0.051816,NHP highest,0.002764,1.0,0.000363
SFTPD,15.646018,0.0004,3.212626,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PDILT,15.646018,0.0004,0.533461,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
WFDC13,15.646018,0.0004,0.328342,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PRSS21,15.646018,0.0004,0.33572,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CCR3,15.646018,0.0004,0.897852,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CD69,15.646018,0.0004,0.052439,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CHP2,15.646018,0.0004,0.041161,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ACSM5,15.646018,0.0004,0.45204,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ADGRG5,15.646018,0.0004,0.421196,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
RFPL4B,15.646018,0.0004,0.061498,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PRR9,15.646018,0.0004,0.379403,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
HBZ,15.646018,0.0004,1.158584,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
HBE1,15.646018,0.0004,0.391608,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
EXOSC6,15.646018,0.0004,2.75498,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
ACTRT1,15.646018,0.0004,0.066276,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
FOXE3,15.646018,0.0004,0.206744,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
PTH,15.646018,0.0004,0.256706,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
OTUD6A,15.646018,0.0004,0.203192,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
UMOD,15.646018,0.0004,0.372003,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
TAS2R7,15.646018,0.0004,0.0838,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
CSN2,15.646018,0.0004,0.172202,0.0,0.0,0.051816,Human highest,0.009194,0.000396,1.0
WFDC1,14.643678,0.000661,2.983652,0.131338,0.005069,0.051816,Human highest,0.977402,0.000869,0.102715
CLEC4G,14.192394,0.000828,1.597597,0.036608,0.0,0.051816,Human highest,0.351003,0.000596,0.381533
AQP8,13.997484,0.000913,1.33863,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
MEFV,13.997484,0.000913,0.251848,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
CCL22,13.997484,0.000913,0.150464,0.031402,0.0,0.051816,Human highest,0.083757,0.000556,1.0
MMP25,13.997484,0.000913,2.09336,0.022876,0.0,0.051816,Human highest,0.083757,0.000556,1.0
GK2,13.812081,0.001002,0.026405,0.146762,0.0,0.051816,NHP highest,0.448689,0.119274,0.001295
CDH5,13.527969,0.001155,0.50584,0.153176,0.019288,0.051816,Human highest,0.72628,0.001147,0.199538
PABPN1L,13.402264,0.00123,0.750698,0.0,0.005069,0.051816,Human highest,0.011357,0.001573,1.0
