human_gene,nhp_gene,syngo_term,mouse_gene
SIPA1L2,SIPA1L2,presynapse,Sipa1l2
GAP43,GAP43,presynapse,Gap43
PDLIM5,PDLIM5,presynapse,Pdlim5
MAGI1,MAGI1,presynapse,Magi1
PPFIBP2,PPFIBP2,presynapse,Ppfibp2
PFN2,PFN2,presynapse,Pfn2
DDN,DDN,presynapse,Ddn
GRB2,GRB2,presynapse,Grb2
PPP1CA,PPP1CA,presynapse,Ppp1ca
PRKACA,PRKACA,presynapse,Prkaca
SDCBP,SDCBP,presynapse,Sdcbp
UNC13B,UNC13B,presynapse,Unc13b
AP3B2,AP3B2,presynapse,Ap3b2
THY1,THY1,presynapse,Thy1
CNTN6,CNTN6,presynapse,Cntn6
CALY,CALY,presynapse,Caly
APBB1,APBB1,presynapse,Apbb1
PRNP,PRNP,presynapse,Prnp
CASK,CASK,presynapse,Cask
SEMA7A,SEMA7A,presynapse,Sema7a
SNX9,SNX9,presynapse,Snx9
TNIK,TNIK,presynapse,Tnik
CADPS2,CADPS2,presynapse,Cadps2
DGKQ,DGKQ,presynapse,Dgkq
PPP1R9A,PPP1R9A,presynapse,Ppp1r9a
SCRN1,SCRN1,presynapse,Scrn1
SH3GL1,SH3GL1,presynapse,Sh3gl1
AAK1,AAK1,presynapse,Aak1
SYNJ1,SYNJ1,presynapse,Synj1
SLC2A4,SLC2A4,presynapse,Slc2a4
TRPC5,TRPC5,presynapse,Trpc5
AP3D1,AP3D1,presynapse,Ap3d1
NPTX2,NPTX2,presynapse,Nptx2
GNA11,GNA11,presynapse,Gna11
BIN1,BIN1,presynapse,Bin1
FLOT1,FLOT1,presynapse,Flot1
SPTBN2,SPTBN2,presynapse,Sptbn2
UBE2M,UBE2M,presynapse,Ube2m
AP1S1,AP1S1,presynapse,Ap1s1
DBNL,DBNL,presynapse,Dbnl
HSPA8,HSPA8,presynapse,Hspa8
CD2AP,CD2AP,presynapse,Cd2ap
KALRN,KALRN,presynapse,Kalrn
ARPC2,ARPC2,presynapse,Arpc2
NECAP1,NECAP1,presynapse,Necap1
KCNJ6,KCNJ6,presynapse,Kcnj6
SLC24A2,SLC24A2,presynapse,Slc24a2
VPS18,VPS18,presynapse,Vps18
SUMO2,SUMO2,presynapse,Sumo2
KIF1B,KIF1B,presynapse,Kif1b
EPS15L1,EPS15L1,presynapse,Eps15l1
AMPH,AMPH,presynapse,Amph
PTK2B,PTK2B,presynapse,Ptk2b
NTRK2,NTRK2,presynapse,Ntrk2
DSTN,DSTN,presynapse,Dstn
ARFGEF2,ARFGEF2,presynapse,Arfgef2
SRPK2,SRPK2,presynapse,Srpk2
YWHAH,YWHAH,presynapse,Ywhah
RTN4R,RTN4R,presynapse,Rtn4r
CASKIN1,CASKIN1,presynapse,Caskin1
CACNB1,CACNB1,presynapse,Cacnb1
CACNB4,CACNB4,presynapse,Cacnb4
DCX,DCX,presynapse,Dcx
S1PR1,S1PR1,presynapse,S1pr1
SNAPIN,SNAPIN,presynapse,Snapin
GIT1,GIT1,presynapse,Git1
RAB8B,RAB8B,presynapse,Rab8b
VPS16,VPS16,presynapse,Vps16
EPHA3,EPHA3,presynapse,Epha3
RAB1A,RAB1A,presynapse,Rab1a
PFN1,PFN1,presynapse,Pfn1
SYNJ2,SYNJ2,presynapse,Synj2
ADD2,ADD2,presynapse,Add2
PPP1CC,PPP1CC,presynapse,Ppp1cc
RTN3,RTN3,presynapse,Rtn3
PTN,PTN,presynapse,Ptn
CPEB2,CPEB2,presynapse,Cpeb2
LRFN2,LRFN2,presynapse,Lrfn2
SGIP1,SGIP1,presynapse,Sgip1
CPLX2,CPLX2,presynapse,Cplx2
NAPA,NAPA,presynapse,Napa
CNRIP1,CNRIP1,presynapse,Cnrip1
RGS4,RGS4,presynapse,Rgs4
GNAL,GNAL,presynapse,Gnal
CD44,CD44,presynapse,Cd44
ITGA2,ITGA2,presynapse,Itga2
CPLX1,CPLX1,presynapse,Cplx1
DISC1,DISC1,presynapse,Disc1
PPFIA4,PPFIA4,presynapse,Ppfia4
S1PR2,S1PR2,presynapse,S1pr2
S1PR4,S1PR4,presynapse,S1pr4
PTPRN2,PTPRN2,presynapse,Ptprn2
DAAM1,DAAM1,presynapse,Daam1
GIPC1,GIPC1,presynapse,Gipc1
STON2,STON2,presynapse,Ston2
ADD1,ADD1,presynapse,Add1
LINGO1,LINGO1,presynapse,Lingo1
S1PR3,S1PR3,presynapse,S1pr3
CAPN1,CAPN1,presynapse,Capn1
NOS1AP,NOS1AP,presynapse,Nos1ap
DPYSL2,DPYSL2,presynapse,Dpysl2
DNM3,DNM3,presynapse,Dnm3
AP1G1,AP1G1,presynapse,Ap1g1
EHD1,EHD1,presynapse,Ehd1
UNC13C,UNC13C,presynapse,Unc13c
APBA2,APBA2,presynapse,Apba2
RAB33B,RAB33B,presynapse,Rab33b
VPS52,VPS52,presynapse,Vps52
SHH,SHH,presynapse,Shh
SHROOM4,SHROOM4,presynapse,Shroom4
PRSS8,PRSS8,presynapse,Prss8
STX3,STX3,presynapse,Stx3
ATG9A,ATG9A,presynapse,Atg9a
PRSS12,PRSS12,presynapse,Prss12
RNF34,RNF34,presynapse,Rnf34
CDK5R2,CDK5R2,presynapse,Cdk5r2
SRCIN1,SRCIN1,presynapse,Srcin1
VAMP1,VAMP1,presynapse,Vamp1
ARF6,ARF6,presynapse,Arf6
BACE1,BACE1,presynapse,Bace1
PRUNE2,PRUNE2,presynapse,Prune2
RMDN3,RMDN3,presynapse,Rmdn3
YWHAG,YWHAG,presynapse,Ywhag
RAPGEF4,RAPGEF4,presynapse,Rapgef4
EPB41L1,EPB41L1,presynapse,Epb41l1
SYT10,SYT10,presynapse,Syt10
RNF138,RNF138,presynapse,Rnf138
KIF2C,KIF2C,presynapse,Kif2c
GAD1,GAD1,presynapse,Gad1
RABAC1,RABAC1,presynapse,Rabac1
TLN2,TLN2,presynapse,Tln2
NECAB2,NECAB2,presynapse,Necab2
DVL1,DVL1,presynapse,Dvl1
NPY5R,NPY5R,presynapse,Npy5r
GNB5,GNB5,presynapse,Gnb5
CRMP1,CRMP1,presynapse,Crmp1
SPHK1,SPHK1,presynapse,Sphk1
SLC29A1,SLC29A1,presynapse,Slc29a1
HIP1,HIP1,presynapse,Hip1
GIT2,GIT2,presynapse,Git2
MGLL,MGLL,presynapse,Mgll
GAD2,GAD2,presynapse,Gad2
GNAI2,GNAI2,presynapse,Gnai2
DOCK1,DOCK1,presynapse,Dock1
CD47,CD47,presynapse,Cd47
VPS35,VPS35,presynapse,Vps35
RGS7,RGS7,presynapse,Rgs7
APPL1,APPL1,presynapse,Appl1
EXOC7,EXOC7,presynapse,Exoc7
OPHN1,OPHN1,presynapse,Ophn1
ROGDI,ROGDI,presynapse,Rogdi
RGS7BP,RGS7BP,presynapse,Rgs7bp
KIF21A,KIF21A,presynapse,Kif21a
STXBP5,STXBP5,presynapse,Stxbp5
RAB6B,RAB6B,presynapse,Rab6b
FBXO45,FBXO45,presynapse,Fbxo45
CDK5R1,CDK5R1,presynapse,Cdk5r1
S1PR5,S1PR5,presynapse,S1pr5
SLC9A6,SLC9A6,presynapse,Slc9a6
FAAH,FAAH,presynapse,Faah
NPY2R,NPY2R,presynapse,Npy2r
GPM6A,GPM6A,presynapse,Gpm6a
RAB6A,RAB6A,presynapse,Rab6a
CALM3,CALM3,presynaptic endocytosis,Calm3
AAK1,AAK1,presynaptic endocytosis,Aak1
CALM1,CALM1,presynaptic endocytosis,Calm1
NECAP1,NECAP1,presynaptic endocytosis,Necap1
ARFGAP3,ARFGAP3,presynaptic endocytosis,Arfgap3
CALM2,CALM2,presynaptic endocytosis,Calm2
ADRA1D,ADRA1D,presynaptic modulation of chemical synaptic transmission,Adra1d
GRM7,GRM7,presynaptic modulation of chemical synaptic transmission,Grm7
APBA2,APBA2,presynaptic modulation of chemical synaptic transmission,Apba2
GIPC1,GIPC1,presynaptic modulation of chemical synaptic transmission,Gipc1
NRXN2,NRXN2,presynaptic modulation of chemical synaptic transmission,Nrxn2
GRIN3A,GRIN3A,presynaptic modulation of chemical synaptic transmission,Grin3a
PFN2,PFN2,presynaptic modulation of chemical synaptic transmission,Pfn2
YWHAH,YWHAH,presynaptic modulation of chemical synaptic transmission,Ywhah
ADORA3,ADORA3,presynaptic modulation of chemical synaptic transmission,Adora3
ADCY1,ADCY1,presynaptic modulation of chemical synaptic transmission,Adcy1
ADORA2A,ADORA2A,presynaptic modulation of chemical synaptic transmission,Adora2a
CHRNA3,CHRNA3,presynaptic modulation of chemical synaptic transmission,Chrna3
HTR7,HTR7,presynaptic modulation of chemical synaptic transmission,Htr7
OPRM1,OPRM1,presynaptic modulation of chemical synaptic transmission,Oprm1
CHRNA6,CHRNA6,presynaptic modulation of chemical synaptic transmission,Chrna6
DRD1,DRD1,presynaptic modulation of chemical synaptic transmission,Drd1
NGFR,NGFR,presynaptic modulation of chemical synaptic transmission,Ngfr
GRM2,GRM2,presynaptic modulation of chemical synaptic transmission,Grm2
CHRNA5,CHRNA5,presynaptic modulation of chemical synaptic transmission,Chrna5
CHRNB2,CHRNB2,presynaptic modulation of chemical synaptic transmission,Chrnb2
DRD2,DRD2,presynaptic modulation of chemical synaptic transmission,Drd2
BACE1,BACE1,presynaptic modulation of chemical synaptic transmission,Bace1
CYTH1,CYTH1,presynaptic modulation of chemical synaptic transmission,Cyth1
ABCC8,ABCC8,presynaptic modulation of chemical synaptic transmission,Abcc8
